"word","word_type","topic","phonetic","meaning_en","image_url","audio_url"
"bird","noun","Animals","bɜrd","an animal with a beak, wings, and feathers that is usually capable of flying","https://cdn.langeek.co/photo/50098/original/bird?type=jpeg","https://tts.langeek.co/read?text=YmlyZA&hash=de250209953d40f16a4b9a25ef316c04adb2223e&lang=en&cache-only=0"
"fish","noun","Animals","fɪʃ","an animal with a tail, gills and fins that lives in water","https://cdn.langeek.co/photo/27339/original/fish?type=jpeg","https://tts.langeek.co/read?text=ZmlzaA&hash=fdb92758151e316180093ddbf02f81bac6bfe227&lang=en&cache-only=0"
"insect","noun","Animals","ˈɪnˌsɛkt","a small creature such as a bee or ant that has six legs, and generally one or two pairs of wings","https://cdn.langeek.co/photo/50080/original/insect?type=jpeg","https://tts.langeek.co/read?text=aW5zZWN0&hash=ba47ac5be418caa5c06e5b768bb7712bd8f18ff4&lang=en&cache-only=0"
"dog","noun","Animals","dɔːɡ","an animal with a tail and four legs that we keep as a pet and is famous for its sense of loyalty","https://cdn.langeek.co/photo/50082/original/dog?type=jpeg","https://tts.langeek.co/read?text=ZG9n&hash=9c76ede62c83ccf5a858995731637f8190ae4301&lang=en&cache-only=0"
"cat","noun","Animals","kæt","a small animal that has soft fur, a tail, and four legs and we often keep it as a pet","https://cdn.langeek.co/photo/50132/original/cat?type=jpeg","https://tts.langeek.co/read?text=Y2F0&hash=afc08b57293c7f6b1db69087bfa64278e5dc3b1a&lang=en&cache-only=0"
"horse","noun","Animals","hɔːrs","an animal that is large, has a tail and four legs, and we use for racing, pulling carriages, riding, etc.","https://cdn.langeek.co/photo/50136/original/horse?type=jpeg","https://tts.langeek.co/read?text=aG9yc2U&hash=35fc4244c152e9021535a7b4d0262ff226a3fff6&lang=en&cache-only=0"
"elephant","noun","Animals","ˈɛləfənt","an animal that is very large, has thick gray skin, four legs, a very long nose that is called a trunk, and mostly lives in Asia and Africa","https://cdn.langeek.co/photo/50138/original/elephant?type=jpeg","https://tts.langeek.co/read?text=ZWxlcGhhbnQ&hash=6111e07f888974ccff5ae05fafa4e727e31b5268&lang=en&cache-only=0"
"lion","noun","Animals","ˈlaɪən","a powerful and large animal that is from the cat family and mostly found in Africa, with the male having a large mane","https://cdn.langeek.co/photo/48613/original/lion?type=jpeg","https://tts.langeek.co/read?text=bGlvbg&hash=ab74fe6d5caa031d802e102fbd155c1646564353&lang=en&cache-only=0"
"tiger","noun","Animals","ˈtaɪɡɚ","a type of large and wild animal that is from the cat family, has orange fur and black stripes, and is mostly found in Asia","https://cdn.langeek.co/photo/50273/original/tiger?type=jpeg","https://tts.langeek.co/read?text=dGlnZXI&hash=87294c9efa079ffe3afd9764f8acdb5aaf9c2d88&lang=en&cache-only=0"
"bear","noun","Animals","bɛr","a large animal with sharp claws and thick fur, which eats meat, honey, insects, and fruits","https://cdn.langeek.co/photo/27195/original/bear?type=jpeg","https://tts.langeek.co/read?text=YmVhcg&hash=93319776de5f090eeb7a179bc36710dd7729ec1f&lang=en&cache-only=0"
